INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	CASRN	SMILES
Bisphenol F	 Synonym - WARNING: Synonym mapped to two or more chemicals.	DTXSID4022446	2,2'-Bisphenol F	2467-02-9	OC1=C(CC2=C(O)C=CC=C2)C=CC=C1
Bisphenol F	 Synonym - WARNING: Synonym mapped to two or more chemicals.	DTXSID00894123	Methylenebisphenol	1333-16-0	-
Metolachlor	Approved Name	DTXSID4022448	Metolachlor	51218-45-2	CCC1=C(N(C(C)COC)C(=O)CCl)C(C)=CC=C1
Dimethyl phthalate	Approved Name	DTXSID3022455	Dimethyl phthalate	131-11-3	COC(=O)C1=C(C=CC=C1)C(=O)OC
Butylbenzene	Approved Name	DTXSID6022472	Butylbenzene	104-51-8	CCCCC1=CC=CC=C1
Corticosterone	Approved Name	DTXSID6022474	Corticosterone	50-22-6	C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO
2-Ethylphenol	Approved Name	DTXSID1022479	2-Ethylphenol	90-00-6	CCC1=C(O)C=CC=C1
3-Ethylphenol	Approved Name	DTXSID0022480	3-Ethylphenol	620-17-7	CCC1=CC=CC(O)=C1
Cinnamic acid	Approved Name	DTXSID40110056	Cinnamic acid	621-82-9	OC(=O)C=CC1=CC=CC=C1
4-Dodecylphenol	Approved Name	DTXSID1022508	4-Dodecylphenol	104-43-8	CCCCCCCCCCCCC1=CC=C(O)C=C1
4-Chloro-2-methylphenol	Approved Name	DTXSID5022510	4-Chloro-2-methylphenol	1570-64-5	CC1=C(O)C=CC(Cl)=C1
Folic acid	Approved Name	DTXSID0022519	Folic acid	59-30-3	NC1=NC(=O)C2=C(N1)N=CC(CNC1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=N2
Diisobutyl phthalate	Approved Name	DTXSID9022522	Diisobutyl phthalate	84-69-5	CC(C)COC(=O)C1=C(C=CC=C1)C(=O)OCC(C)C
Heptylparaben	Expert Validated Synonym	DTXSID4022523	Heptyl p-hydroxybenzoate	1085-12-7	CCCCCCCOC(=O)C1=CC=C(O)C=C1
Thalidomide	Approved Name	DTXSID9022524	Thalidomide	50-35-1	O=C1N(C2CCC(=O)NC2=O)C(=O)C2=CC=CC=C12
2-Ethylhexylparaben	Expert Validated Synonym	DTXSID4022525	2-Ethylhexyl p-hydroxybenzoate	5153-25-3	CCCCC(CC)COC(=O)C1=CC=C(O)C=C1
Benzylparaben	Expert Validated Synonym	DTXSID9022526	Benzyl 4-hydroxybenzoate	94-18-8	OC1=CC=C(C=C1)C(=O)OCC1=CC=CC=C1
Propylparaben	Approved Name	DTXSID4022527	Propylparaben	94-13-3	CCCOC(=O)C1=CC=C(O)C=C1
Ethylparaben	Approved Name	DTXSID9022528	Ethylparaben	120-47-8	CCOC(=O)C1=CC=C(O)C=C1
Methylparaben	Approved Name	DTXSID4022529	Methylparaben	99-76-3	COC(=O)C1=CC=C(O)C=C1
4-Cumylphenol	Approved Name	DTXSID3022536	4-Cumylphenol	599-64-4	CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1
4-Aminofolic acid	Synonym	DTXSID3022588	Aminopterin	54-62-6	NC1=NC(N)=C2N=C(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)C=NC2=N1
Aminoglutethimide	Approved Name	DTXSID8022589	Aminoglutethimide	125-84-8	CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1
Anastrozole	Approved Name	DTXSID9022607	Anastrozole	120511-73-1	CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N
Atenolol	Approved Name	DTXSID2022628	Atenolol	29122-68-7	CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1
Bicalutamide	Approved Name	DTXSID2022678	Bicalutamide	90357-06-5	CC(O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC(=C(C=C1)C#N)C(F)(F)F
Biotin	Approved Name	DTXSID7022679	Biotin	58-85-5	OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
Carbamazepine	Approved Name	DTXSID4022731	Carbamazepine	298-46-4	NC(=O)N1C2=CC=CC=C2C=CC2=C1C=CC=C2
Celecoxib	Approved Name	DTXSID0022777	Celecoxib	169590-42-5	CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F
Cladribine	Approved Name	DTXSID8022828	Cladribine	4291-63-8	NC1=NC(Cl)=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](CO)O1
2',3'-Dideoxyinosine	Approved Name	DTXSID6022927	2',3'-Dideoxyinosine	69655-05-6	OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1N=CNC2=O
Digoxin	Approved Name	DTXSID5022934	Digoxin	20830-75-5	C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CC[C@@H]5[C@@H]4C[C@@H](O)[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C
Docusate sodium	Approved Name	DTXSID8022959	Docusate sodium	577-11-7	[Na+].CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S([O-])(=O)=O
Erythromycin	Approved Name	DTXSID4022991	Erythromycin	114-07-8	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
Iopanoic acid	Approved Name	DTXSID6023159	Iopanoic acid	96-83-3	CCC(CC1=C(I)C=C(I)C(N)=C1I)C(O)=O
Lactic acid	Approved Name	DTXSID7023192	Lactic acid	50-21-5	CC(O)C(O)=O
Lactose	Approved Name	DTXSID2023193	Lactose	63-42-3	[H][C@]1(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H](O)O[C@@H]1CO
Letrozole	Approved Name	DTXSID4023202	Letrozole	112809-51-5	N#CC1=CC=C(C=C1)C(N1C=NC=N1)C1=CC=C(C=C1)C#N
3,5,3'-Triiodothyronine	Approved Name	DTXSID8023216	3,5,3'-Triiodothyronine	6893-02-3	N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O
D-Mannitol	Approved Name	DTXSID1023235	D-Mannitol	69-65-8	OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
Methylene blue	Approved Name	DTXSID0023296	Methylene blue	61-73-4	[Cl-].CN(C)C1=CC2=[S+]C3=C(C=CC(=C3)N(C)C)N=C2C=C1
Mifepristone	Approved Name	DTXSID5023322	Mifepristone	84371-65-3	CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)C1=CC=C(C=C1)N(C)C
Norethindrone	Approved Name	DTXSID9023380	Norethindrone	68-22-4	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C
Oxytetracycline dihydrate	Approved Name	DTXSID4023412	Oxytetracycline dihydrate	6153-64-6	O.O.CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C=CC=C1O)[C@@]3(C)O
Pentaerythritol tetranitrate	Approved Name	DTXSID2023430	Pentaerythritol tetranitrate	78-11-5	[O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O
Propofol	Approved Name	DTXSID6023523	Propofol	2078-54-8	CC(C)C1=CC=CC(C(C)C)=C1O
Pyridoxine	Approved Name	DTXSID4023541	Pyridoxine	65-23-6	CC1=C(O)C(CO)=C(CO)C=N1
Retinol	Approved Name	DTXSID3023556	Retinol	68-26-8	C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C
Simvastatin	Approved Name	DTXSID0023581	Simvastatin	79902-63-9	CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12
D-Glucitol	Approved Name	DTXSID5023588	D-Glucitol	50-70-4	OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
Butanedioic acid	Approved Name	DTXSID6023602	Butanedioic acid	110-15-6	OC(=O)CCC(O)=O
L-Tartaric acid	Approved Name	DTXSID8023632	L-Tartaric acid	87-69-4	O[C@H]([C@@H](O)C(O)=O)C(O)=O
Tetracycline	Approved Name	DTXSID7023645	Tetracycline	60-54-8	[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C)C(=O)C1=C(C=CC=C1O)[C@@]3(C)O
6-Thioguanine	Approved Name	DTXSID6023652	6-Thioguanine	154-42-7	NC1=NC2=C(NC=N2)C(=S)N1
Troglitazone	Approved Name	DTXSID8023719	Troglitazone	97322-87-7	CC1=C(O)C(C)=C2CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)OC2=C1C
Tromethamine	Approved Name	DTXSID2023723	Tromethamine	77-86-1	NC(CO)(CO)CO
Valproic acid	Approved Name	DTXSID6023733	Valproic acid	99-66-1	CCCC(CCC)C(O)=O
Warfarin	Approved Name	DTXSID5023742	Warfarin	81-81-2	CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=CC=CC=C2OC1=O
D-Xylose	Approved Name	DTXSID0023745	D-Xylose	58-86-6	O[C@@H]1COC(O)[C@H](O)[C@H]1O
4-Nitrotoluene	Approved Name	DTXSID5023792	4-Nitrotoluene	99-99-0	CC1=CC=C(C=C1)[N+]([O-])=O
Pentamidine isethionate	Approved Name	DTXSID5023796	Pentamidine isethionate	140-64-7	OCCS(O)(=O)=O.OCCS(O)(=O)=O.NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1
Stavudine	Approved Name	DTXSID1023819	Stavudine	3056-17-5	CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O
Indium arsenide	Approved Name	DTXSID5023825	Indium arsenide	1303-11-3	[As]#[In]
Isophorone diisocyanate	Approved Name	DTXSID0023826	Isophorone diisocyanate	4098-71-9	CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O
Polydimethylsiloxane	Approved Name	DTXSID9023833	Polydimethylsiloxane	9016-00-6	C[Si](C)(-*)O-* |$;;;star_e;;star_e$,lp:4:2,Sg:n:1,4,0,2::ht|
Acenaphthylene	Approved Name	DTXSID3023845	Acenaphthylene	208-96-8	C1=CC2=C3C1=CC=CC3=CC=C2
Acephate	Approved Name	DTXSID8023846	Acephate	30560-19-1	COP(=O)(NC(C)=O)SC
Acetochlor	Approved Name	DTXSID8023848	Acetochlor	34256-82-1	CCOCN(C(=O)CCl)C1=C(CC)C=CC=C1C
Aldoxycarb	Approved Name	DTXSID6023862	Aldoxycarb	1646-88-4	CNC(=O)O\N=C\C(C)(C)S(C)(=O)=O
Hydramethylnon	Approved Name	DTXSID6023868	Hydramethylnon	67485-29-4	CC1(C)CNC(NC1)=NN=C(\C=C\C1=CC=C(C=C1)C(F)(F)F)/C=C/C1=CC=C(C=C1)C(F)(F)F
Ametryn	Approved Name	DTXSID1023869	Ametryn	834-12-8	CCNC1=NC(SC)=NC(NC(C)C)=N1
Amitraz	Approved Name	DTXSID5023871	Amitraz	33089-61-1	CN(\C=N\C1=C(C)C=C(C)C=C1)\C=N\C1=C(C)C=C(C)C=C1
Ammonium sulfamate	Approved Name	DTXSID5023875	Ammonium sulfamate	7773-06-0	[NH4+].NS([O-])(=O)=O
2-Anisidine	Approved Name	DTXSID5023877	2-Anisidine	90-04-0	COC1=CC=CC=C1N
Anthracene	Integrated Source Name	DTXSID0023878	Anthracene	120-12-7	C1=CC2=CC3=C(C=CC=C3)C=C2C=C1
Clofentezine	Approved Name	DTXSID9023881	Clofentezine	74115-24-5	ClC1=CC=CC=C1C1=NN=C(N=N1)C1=C(Cl)C=CC=C1
Quizalofop-ethyl	Approved Name	DTXSID9023889	Quizalofop-ethyl	76578-14-8	CCOC(=O)C(C)OC1=CC=C(OC2=CN=C3C=C(Cl)C=CC3=N2)C=C1
Asulam	Approved Name	DTXSID8023890	Asulam	3337-71-1	COC(=O)NS(=O)(=O)C1=CC=C(N)C=C1
Abamectin	Approved Name	DTXSID8023892	Abamectin	71751-41-2	-
Triadimefon	Approved Name	DTXSID3023897	Triadimefon	43121-43-3	CC(C)(C)C(=O)C(OC1=CC=C(Cl)C=C1)N1C=NC=N1
Benfluralin	Approved Name	DTXSID3023899	Benfluralin	1861-40-1	CCCCN(CC)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O
Benomyl	Approved Name	DTXSID5023900	Benomyl	17804-35-2	CCCCNC(=O)N1C(NC(=O)OC)=NC2=C1C=CC=C2
Bentazone	Approved Name	DTXSID0023901	Bentazone	25057-89-0	CC(C)N1C(=O)C2=C(NS1(=O)=O)C=CC=C2
Benz(a)anthracene	Approved Name	DTXSID5023902	Benz(a)anthracene	56-55-3	C1=CC2=C(C=C1)C=C1C(C=CC3=C1C=CC=C3)=C2
Benzo(b)fluoranthene	Approved Name	DTXSID0023907	Benzo(b)fluoranthene	205-99-2	C1=CC=C2C(=C1)C1=CC=CC3=C4C=CC=CC4=CC2=C13
Dicrotophos	Approved Name	DTXSID9023914	Dicrotophos	141-66-2	COP(=O)(OC)O\C(C)=C\C(=O)N(C)C
p-Bromodiphenyl ether	Approved Name	DTXSID8023927	p-Bromodiphenyl ether	101-55-3	BrC1=CC=C(OC2=CC=CC=C2)C=C1
Butylate	Approved Name	DTXSID7023936	Butylate	2008-41-5	CCSC(=O)N(CC(C)C)CC(C)C
Carbosulfan	Approved Name	DTXSID5023950	Carbosulfan	55285-14-8	CCCCN(CCCC)SN(C)C(=O)OC1=C2OC(C)(C)CC2=CC=C1
Carboxin	Approved Name	DTXSID0023951	Carboxin	5234-68-4	CC1=C(SCCO1)C(=O)NC1=CC=CC=C1
2-Chlorotoluene	Approved Name	DTXSID8023977	2-Chlorotoluene	95-49-8	CC1=C(Cl)C=CC=C1
Cyanazine	Approved Name	DTXSID1023990	Cyanazine	21725-46-2	CCNC1=NC(NC(C)(C)C#N)=NC(Cl)=N1
Cyclohexylamine	Approved Name	DTXSID1023996	Cyclohexylamine	108-91-8	NC1CCCCC1
Cypermethrin	Approved Name	DTXSID1023998	Cypermethrin	52315-07-8	CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1
Cyromazine	Approved Name	DTXSID6023999	Cyromazine	66215-27-8	NC1=NC(NC2CC2)=NC(N)=N1
Chlorthal-dimethyl	Approved Name	DTXSID0024000	Chlorthal-dimethyl	1861-32-1	COC(=O)C1=C(Cl)C(Cl)=C(C(=O)OC)C(Cl)=C1Cl
Fenpropathrin	Approved Name	DTXSID0024002	Fenpropathrin	39515-41-8	CC1(C)C(C(=O)OC(C#N)C2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C
Dicamba	Approved Name	DTXSID4024018	Dicamba	1918-00-9	COC1=C(Cl)C=CC(Cl)=C1C(O)=O
(E)-1,2-Dichloroethylene	Approved Name	DTXSID7024031	(E)-1,2-Dichloroethylene	156-60-5	Cl\C=C\Cl
2,4-DB	Synonym	DTXSID7024035	2,4-Dichlorophenoxybutyric acid	94-82-6	OC(=O)CCCOC1=CC=C(Cl)C=C1Cl
Diethyl sulfate	Approved Name	DTXSID1024045	Diethyl sulfate	64-67-5	CCOS(=O)(=O)OCC
Paraoxon	Approved Name	DTXSID6024046	Paraoxon	311-45-5	CCOP(=O)(OCC)OC1=CC=C(C=C1)[N+]([O-])=O
Difenzoquat metilsulfate	Approved Name	DTXSID6024048	Difenzoquat metilsulfate	43222-48-6	COS([O-])(=O)=O.CN1C(=CC(C2=CC=CC=C2)=[N+]1C)C1=CC=CC=C1
Diflubenzuron	Approved Name	DTXSID1024049	Diflubenzuron	35367-38-5	FC1=CC=CC(F)=C1C(=O)NC(=O)NC1=CC=C(Cl)C=C1
Diisopropyl methylphosphonate	Expert Validated Synonym	DTXSID5024051	Bis(1-methylethyl) methylphosphonate	1445-75-6	CC(C)OP(C)(=O)OC(C)C
Dimethipin	Approved Name	DTXSID0024052	Dimethipin	55290-64-7	CC1=C(C)S(=O)(=O)CCS1(=O)=O
Dimethyl sulfate	Approved Name	DTXSID5024055	Dimethyl sulfate	77-78-1	COS(=O)(=O)OC
Dimethylamine	Approved Name	DTXSID5024057	Dimethylamine	124-40-3	CNC
3,3'-Dimethylbenzidine	Approved Name	DTXSID5024059	3,3'-Dimethylbenzidine	119-93-7	CC1=CC(=CC=C1N)C1=CC=C(N)C(C)=C1
3,4-Dimethylphenol	Approved Name	DTXSID4024062	3,4-Dimethylphenol	95-65-8	CC1=C(C)C=C(O)C=C1
2,6-Dimethylphenol	Approved Name	DTXSID9024063	2,6-Dimethylphenol	576-26-1	CC1=CC=CC(C)=C1O
1,3-Dinitrobenzene	Approved Name	DTXSID9024065	1,3-Dinitrobenzene	99-65-0	[O-][N+](=O)C1=CC(=CC=C1)[N+]([O-])=O
1,2-Dinitrobenzene	Approved Name	DTXSID4024066	1,2-Dinitrobenzene	528-29-0	[O-][N+](=O)C1=C(C=CC=C1)[N+]([O-])=O
Diphenamid	Approved Name	DTXSID8024072	Diphenamid	957-51-7	CN(C)C(=O)C(C1=CC=CC=C1)C1=CC=CC=C1
Endothal	Approved Name	DTXSID7024081	Endothal	145-73-3	OC(=O)C1C2CCC(O2)C1C(O)=O
Ethephon	Approved Name	DTXSID7024085	Ethephon	16672-87-0	OP(O)(=O)CCCl
Ethion	Approved Name	DTXSID2024086	Ethion	563-12-2	CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
2-Ethoxyethanol	Approved Name	DTXSID7024087	2-Ethoxyethanol	110-80-5	CCOCCO
EPTC	Approved Name	DTXSID1024091	EPTC	759-94-4	CCCN(CCC)C(=O)SCC
2-Butoxyethanol	Approved Name	DTXSID1024097	2-Butoxyethanol	111-76-2	CCCCOCCO
Fenamiphos	Approved Name	DTXSID3024102	Fenamiphos	22224-92-6	CCOP(=O)(NC(C)C)OC1=CC=C(SC)C(C)=C1
Fluoranthene	Approved Name	DTXSID3024104	Fluoranthene	206-44-0	C1=CC2=C(C=C1)C1=C3C2=CC=CC3=CC=C1
Fluorene	Approved Name	DTXSID8024105	Fluorene	86-73-7	C1C2=C(C=CC=C2)C2=C1C=CC=C2
Fluridone	Synonym	DTXSID8024107	1-Methyl-3-phenyl-5-(3-(trifluoromethyl)phenyl)-4-pyridone	59756-60-4	CN1C=C(C(=O)C(=C1)C1=CC(=CC=C1)C(F)(F)F)C1=CC=CC=C1
Flutolanil	Approved Name	DTXSID8024109	Flutolanil	66332-96-5	CC(C)OC1=CC(NC(=O)C2=C(C=CC=C2)C(F)(F)F)=CC=C1
Fomesafen	Approved Name	DTXSID7024112	Fomesafen	72178-02-0	CS(=O)(=O)NC(=O)C1=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=CC=C1[N+]([O-])=O
Haloxyfop-methyl	Approved Name	DTXSID6024123	Haloxyfop-methyl	69806-40-2	COC(=O)C(C)OC1=CC=C(OC2=NC=C(C=C2Cl)C(F)(F)F)C=C1
Thifensulfuron-methyl	Expert Validated Synonym	DTXSID1024124	Thifensulfuron methyl	79277-27-3	COC(=O)C1=C(C=CS1)S(=O)(=O)NC(=O)NC1=NC(C)=NC(OC)=N1
Heptachlor epoxide	Integrated Source Name	DTXSID1024126	Heptachlor epoxide B	1024-57-3	[H][C@]12[C@@H]3O[C@@H]3[C@H](Cl)[C@@]1([H])[C@@]1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
1,6-Diisocyanatohexane	Approved Name	DTXSID4024143	1,6-Diisocyanatohexane	822-06-0	O=C=NCCCCCCN=C=O
Hexazinone	Approved Name	DTXSID4024145	Hexazinone	51235-04-2	CN(C)C1=NC(=O)N(C2CCCCC2)C(=O)N1C
Imazalil	Approved Name	DTXSID8024151	Imazalil	35554-44-0	ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC=C
Imazaquin	Approved Name	DTXSID3024152	Imazaquin	81335-37-7	CC(C)C1(C)N=C(NC1=O)C1=NC2=C(C=CC=C2)C=C1C(O)=O
Iprodione	Approved Name	DTXSID3024154	Iprodione	36734-19-7	CC(C)NC(=O)N1CC(=O)N(C1=O)C1=CC(Cl)=CC(Cl)=C1
Isopropalin	Approved Name	DTXSID8024157	Isopropalin	33820-53-0	CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)C(C)C)[N+]([O-])=O
Isoxaben	Approved Name	DTXSID8024159	Isoxaben	82558-50-7	CCC(C)(CC)C1=NOC(NC(=O)C2=C(OC)C=CC=C2OC)=C1
Lactofen	Approved Name	DTXSID7024160	Lactofen	77501-63-4	CCOC(=O)C(C)OC(=O)C1=C(C=CC(OC2=C(Cl)C=C(C=C2)C(F)(F)F)=C1)[N+]([O-])=O
Linuron	Approved Name	DTXSID2024163	Linuron	330-55-2	CON(C)C(=O)NC1=CC=C(Cl)C(Cl)=C1
Mepiquat chloride	Expert Validated Synonym	DTXSID1024170	1,1-Dimethylpiperidinium chloride	24307-26-4	[Cl-].C[N+]1(C)CCCCC1
Tribufos	Approved Name	DTXSID1024174	Tribufos	78-48-8	CCCCSP(=O)(SCCCC)SCCCC
Metalaxyl	Approved Name	DTXSID6024175	Metalaxyl	57837-19-1	COCC(=O)N(C(C)C(=O)OC)C1=C(C)C=CC=C1C
Methacrylonitrile	Approved Name	DTXSID1024176	Methacrylonitrile	126-98-7	CC(=C)C#N
Methamidophos	Approved Name	DTXSID6024177	Methamidophos	10265-92-6	COP(N)(=O)SC
2-Methoxyethanol	Approved Name	DTXSID5024182	2-Methoxyethanol	109-86-4	COCCO
MCPB	Approved Name	DTXSID4024193	MCPB	94-81-5	CC1=C(OCCCC(O)=O)C=CC(Cl)=C1
Mecoprop	Approved Name	DTXSID9024194	Mecoprop	93-65-2	CC(OC1=C(C)C=C(Cl)C=C1)C(O)=O
MCPA	Approved Name	DTXSID4024195	MCPA	94-74-6	CC1=C(OCC(O)=O)C=CC(Cl)=C1
m-Cresol	Approved Name	DTXSID6024200	m-Cresol	108-39-4	CC1=CC(O)=CC=C1
Metribuzin	Approved Name	DTXSID6024204	Metribuzin	21087-64-9	CSC1=NN=C(C(=O)N1N)C(C)(C)C
Molinate	Approved Name	DTXSID6024206	Molinate	2212-67-1	CCSC(=O)N1CCCCCC1
Naled	Approved Name	DTXSID1024209	Naled	300-76-5	COP(=O)(OC)OC(Br)C(Cl)(Cl)Br
Napropamide	Approved Name	DTXSID5024211	Napropamide	15299-99-7	CCN(CC)C(=O)C(C)OC1=C2C=CC=CC2=CC=C1
Nitrapyrin	Approved Name	DTXSID0024216	Nitrapyrin	1929-82-4	ClC1=CC=CC(=N1)C(Cl)(Cl)Cl
Norflurazon	Approved Name	DTXSID8024234	Norflurazon	27314-13-2	CNC1=C(Cl)C(=O)N(N=C1)C1=CC=CC(=C1)C(F)(F)F
Flusilazole	Approved Name	DTXSID3024235	Flusilazole	85509-19-9	C[Si](CN1C=NC=N1)(C1=CC=C(F)C=C1)C1=CC=C(F)C=C1
Oryzalin	Approved Name	DTXSID8024238	Oryzalin	19044-88-3	CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)S(N)(=O)=O)[N+]([O-])=O
Oxadiazon	Approved Name	DTXSID3024239	Oxadiazon	19666-30-9	CC(C)OC1=CC(N2N=C(OC2=O)C(C)(C)C)=C(Cl)C=C1Cl
Oxyfluorfen	Approved Name	DTXSID7024241	Oxyfluorfen	42874-03-3	CCOC1=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=CC=C1[N+]([O-])=O
Paclobutrazol	Approved Name	DTXSID2024242	Paclobutrazol	76738-62-0	CC(C)(C)[C@@H](O)[C@@H](CC1=CC=C(Cl)C=C1)N1C=NC=N1
Pendimethalin	Approved Name	DTXSID7024245	Pendimethalin	40487-42-1	CCC(CC)NC1=C(C(C)=C(C)C=C1[N+]([O-])=O)[N+]([O-])=O
Phenanthrene	Approved Name	DTXSID6024254	Phenanthrene	85-01-8	C1=CC2=C(C=C1)C1=C(C=CC=C1)C=C2
Phenmedipham	Approved Name	DTXSID1024255	Phenmedipham	13684-63-4	COC(=O)NC1=CC(OC(=O)NC2=CC=CC(C)=C2)=CC=C1
Phosalone	Approved Name	DTXSID1024259	Phosalone	2310-17-0	CCOP(=S)(OCC)SCN1C(=O)OC2=CC(Cl)=CC=C12
Phosmet	Approved Name	DTXSID5024261	Phosmet	732-11-6	COP(=S)(OC)SCN1C(=O)C2=C(C=CC=C2)C1=O
Phosphoric acid	Approved Name	DTXSID5024263	Phosphoric acid	7664-38-2	OP(O)(O)=O
Pirimiphos-methyl	Approved Name	DTXSID0024266	Pirimiphos-methyl	29232-93-7	CCN(CC)C1=NC(OP(=S)(OC)OC)=CC(C)=N1
Prochloraz	Approved Name	DTXSID4024270	Prochloraz	67747-09-5	CCCN(CCOC1=C(Cl)C=C(Cl)C=C1Cl)C(=O)N1C=CN=C1
Prometryn	Approved Name	DTXSID4024272	Prometryn	7287-19-6	CSC1=NC(NC(C)C)=NC(NC(C)C)=N1
Propachlor	Approved Name	DTXSID4024274	Propachlor	1918-16-7	CC(C)N(C(=O)CCl)C1=CC=CC=C1
Propargite	Approved Name	DTXSID4024276	Propargite	2312-35-8	CC(C)(C)C1=CC=C(OC2CCCCC2OS(=O)OCC#C)C=C1
Propiconazole	Approved Name	DTXSID8024280	Propiconazole	60207-90-1	CCCC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(Cl)C=C1
1-Methoxy-2-propanol	Approved Name	DTXSID8024284	1-Methoxy-2-propanol	107-98-2	COCC(C)O
Imazethapyr	Approved Name	DTXSID3024287	Imazethapyr	81335-77-5	CCC1=CN=C(C2=NC(C)(C(C)C)C(=O)N2)C(=C1)C(O)=O
Pyrene	Approved Name	DTXSID3024289	Pyrene	129-00-0	C1=CC2=C3C(C=CC4=CC=CC(C=C2)=C34)=C1
Hexythiazox	Approved Name	DTXSID7024299	Hexythiazox	78587-05-0	C[C@H]1[C@@H](SC(=O)N1C(=O)NC1CCCCC1)C1=CC=C(Cl)C=C1
Sethoxydim	Approved Name	DTXSID9024304	Sethoxydim	74051-80-2	CCCC(=NOCC)C1=C(O)CC(CC(C)SCC)CC1=O
Sodium fluoroacetate	Approved Name	DTXSID8024311	Sodium fluoroacetate	62-74-8	[Na+].[O-]C(=O)CF
Myclobutanil	Approved Name	DTXSID8024315	Myclobutanil	88671-89-0	CCCCC(CN1C=NC=N1)(C#N)C1=CC=C(Cl)C=C1
Tebuthiuron	Approved Name	DTXSID3024316	Tebuthiuron	34014-18-1	CNC(=O)N(C)C1=NN=C(S1)C(C)(C)C
Terbacil	Approved Name	DTXSID8024317	Terbacil	5902-51-2	CC1=C(Cl)C(=O)N(C(=O)N1)C(C)(C)C
1,2,4,5-Tetrachlorobenzene	Approved Name	DTXSID7024320	1,2,4,5-Tetrachlorobenzene	95-94-3	ClC1=CC(Cl)=C(Cl)C=C1Cl
