INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	DTXCID	CASRN	QSAR_READY_SMILES
140-66-9	CAS-RN	DTXSID9022360	4-(1,1,3,3-Tetramethylbutyl)phenol	DTXCID602360	140-66-9	CC(C)(C)CC(C)(C)C1=CC=C(O)C=C1
50471-44-8	CAS-RN	DTXSID4022361	Vinclozolin	DTXCID002361	50471-44-8	CC1(OC(=O)N(C1=O)C1=CC(Cl)=CC(Cl)=C1)C=C
521-18-6	CAS-RN	DTXSID9022364	5alpha-Dihydrotestosterone	DTXCID202364	521-18-6	CC12CCC3C(CCC4CC(=O)CCC34C)C1CCC2O
50-27-1	CAS-RN	DTXSID9022366	Estriol	DTXCID002366	50-27-1	CC12CCC3C(CCC4=C3C=CC(O)=C4)C1CC(O)C2O
53-16-7	CAS-RN	DTXSID4022367	Estrone	DTXCID402367	53-16-7	CC12CCC3C(CCC4=C3C=CC(O)=C4)C1CCC2=O
129453-61-8	CAS-RN	DTXSID4022369	Fulvestrant	DTXCID202369	129453-61-8	CC12CCC3C(C1CCC2O)C(CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F)CC1=CC(O)=CC=C31
57-83-0	CAS-RN	DTXSID3022370	Progesterone	DTXCID902370	57-83-0	CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
57-91-0	CAS-RN	DTXSID8022377	17alpha-Estradiol	DTXCID702377	57-91-0	CC12CCC3C(CCC4=C3C=CC(O)=C4)C1CCC2O
84-16-2	CAS-RN	DTXSID2022381	meso-Hexestrol	DTXCID602381	84-16-2	CCC(C(CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
520-36-5	CAS-RN	DTXSID6022391	Apigenin	DTXCID902391	520-36-5	OC1=CC=C(C=C1)C1=CC(=O)C2=C(O1)C=C(O)C=C2O
491-80-5	CAS-RN	DTXSID1022394	Biochanin A	DTXCID102394	491-80-5	COC1=CC=C(C=C1)C1=COC2=C(C(O)=CC(O)=C2)C1=O
480-40-0	CAS-RN	DTXSID1022396	Chrysin	DTXCID902396	480-40-0	OC1=CC2=C(C(O)=C1)C(=O)C=C(O2)C1=CC=CC=C1
131-57-7	CAS-RN	DTXSID3022405	2-Hydroxy-4-methoxybenzophenone	DTXCID002405	131-57-7	COC1=CC=C(C(=O)C2=CC=CC=C2)C(O)=C1
131-56-6	CAS-RN	DTXSID8022406	2,4-Dihydroxybenzophenone	DTXCID402406	131-56-6	OC1=CC=C(C(=O)C2=CC=CC=C2)C(O)=C1
143-74-8	CAS-RN	DTXSID8022408	Phenol red	DTXCID202408	143-74-8	OC1=CC=C(C=C1)C1(OS(=O)(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1
80-09-1	CAS-RN	DTXSID3022409	4,4'-Sulfonyldiphenol	DTXCID602409	80-09-1	OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1
118-82-1	CAS-RN	DTXSID7022411	4,4'-Methylenebis(2,6-di-t-butylphenol)	DTXCID702411	118-82-1	CC(C)(C)C1=CC(CC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)=CC(=C1O)C(C)(C)C
97-54-1	CAS-RN	DTXSID7022413	Isoeugenol	DTXCID502413	97-54-1	COC1=CC(C=CC)=CC=C1O
73-31-4	CAS-RN	DTXSID1022421	Melatonin	DTXCID002421	73-31-4	COC1=CC2=C(NC=C2CCNC(C)=O)C=C1
101-77-9	CAS-RN	DTXSID6022422	4,4'-Diaminobiphenyl methane	DTXCID402422	101-77-9	NC1=CC=C(CC2=CC=C(N)C=C2)C=C1
126-00-1	CAS-RN	DTXSID0022436	4,4-Bis(4-hydroxyphenyl)valeric acid	DTXCID302436	126-00-1	CC(CCC(O)=O)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
500-38-9	CAS-RN	DTXSID5022437	Nordihydroguaiaretic acid	DTXCID702437	500-38-9	CC(CC1=CC(O)=C(O)C=C1)C(C)CC1=CC=C(O)C(O)=C1
81-90-3	CAS-RN	DTXSID5022439	Phenolphthalin	DTXCID502439	81-90-3	OC(=O)C1=C(C=CC=C1)C(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
77-40-7	CAS-RN	DTXSID4022442	Bisphenol B	DTXCID002442	77-40-7	CCC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
2/9/2467	Not CAS Number Format	-	-	-	-	-
51218-45-2	CAS-RN	DTXSID4022448	Metolachlor	DTXCID402448	51218-45-2	CCC1=C(N(C(C)COC)C(=O)CCl)C(C)=CC=C1
131-11-3	CAS-RN	DTXSID3022455	Dimethyl phthalate	DTXCID502455	131-11-3	COC(=O)C1=C(C=CC=C1)C(=O)OC
104-51-8	CAS-RN	DTXSID6022472	Butylbenzene	DTXCID902472	104-51-8	CCCCC1=CC=CC=C1
50-22-6	CAS-RN	DTXSID6022474	Corticosterone	DTXCID702474	50-22-6	CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C1CCC2C(=O)CO
90-00-6	CAS-RN	DTXSID1022479	2-Ethylphenol	DTXCID702479	90-00-6	CCC1=C(O)C=CC=C1
620-17-7	CAS-RN	DTXSID0022480	3-Ethylphenol	DTXCID402480	620-17-7	CCC1=CC=CC(O)=C1
140-10-3	CAS-RN	DTXSID5022489	E-Cinnamic acid	DTXCID002489	140-10-3	OC(=O)C=CC1=CC=CC=C1
104-43-8	CAS-RN	DTXSID1022508	4-Dodecylphenol	DTXCID402508	104-43-8	CCCCCCCCCCCCC1=CC=C(O)C=C1
1570-64-5	CAS-RN	DTXSID5022510	4-Chloro-2-methylphenol	DTXCID502510	1570-64-5	CC1=C(O)C=CC(Cl)=C1
59-30-3	CAS-RN	DTXSID0022519	Folic acid	DTXCID102519	59-30-3	NC1=NC(=O)C2=C(N1)N=CC(CNC1=CC=C(C=C1)C(=O)NC(CCC(O)=O)C(O)=O)=N2
84-69-5	CAS-RN	DTXSID9022522	Diisobutyl phthalate	DTXCID602522	84-69-5	CC(C)COC(=O)C1=C(C=CC=C1)C(=O)OCC(C)C
1085-12-7	CAS-RN	DTXSID4022523	Heptyl p-hydroxybenzoate	DTXCID002523	1085-12-7	CCCCCCCOC(=O)C1=CC=C(O)C=C1
50-35-1	CAS-RN	DTXSID9022524	Thalidomide	DTXCID402524	50-35-1	O=C1N(C2CCC(=O)NC2=O)C(=O)C2=CC=CC=C12
5153-25-3	CAS-RN	DTXSID4022525	2-Ethylhexyl p-hydroxybenzoate	DTXCID802525	5153-25-3	CCCCC(CC)COC(=O)C1=CC=C(O)C=C1
94-18-8	CAS-RN	DTXSID9022526	Benzyl 4-hydroxybenzoate	DTXCID202526	94-18-8	OC1=CC=C(C=C1)C(=O)OCC1=CC=CC=C1
94-13-3	CAS-RN	DTXSID4022527	Propylparaben	DTXCID602527	94-13-3	CCCOC(=O)C1=CC=C(O)C=C1
120-47-8	CAS-RN	DTXSID9022528	Ethylparaben	DTXCID002528	120-47-8	CCOC(=O)C1=CC=C(O)C=C1
99-76-3	CAS-RN	DTXSID4022529	Methylparaben	DTXCID402529	99-76-3	COC(=O)C1=CC=C(O)C=C1
599-64-4	CAS-RN	DTXSID3022536	4-Cumylphenol	DTXCID502536	599-64-4	CC(C)(C1=CC=CC=C1)C1=CC=C(O)C=C1
54-62-6	CAS-RN	DTXSID3022588	Aminopterin	DTXCID802588	54-62-6	NC1=NC(N)=C2N=C(CNC3=CC=C(C=C3)C(=O)NC(CCC(O)=O)C(O)=O)C=NC2=N1
125-84-8	CAS-RN	DTXSID8022589	Aminoglutethimide	DTXCID202589	125-84-8	CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1
120511-73-1	CAS-RN	DTXSID9022607	Anastrozole	DTXCID202607	120511-73-1	CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N
29122-68-7	CAS-RN	DTXSID2022628	Atenolol	DTXCID202628	29122-68-7	CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1
90357-06-5	CAS-RN	DTXSID2022678	Bicalutamide	DTXCID00209197	90357-06-5	CC(O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC(=C(C=C1)C#N)C(F)(F)F
58-85-5	CAS-RN	DTXSID7022679	Biotin	DTXCID102679	58-85-5	OC(=O)CCCCC1SCC2NC(=O)NC12
298-46-4	CAS-RN	DTXSID4022731	Carbamazepine	DTXCID902731	298-46-4	NC(=O)N1C2=CC=CC=C2C=CC2=C1C=CC=C2
169590-42-5	CAS-RN	DTXSID0022777	Celecoxib	DTXCID502777	169590-42-5	CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F
4291-63-8	CAS-RN	DTXSID8022828	Cladribine	DTXCID602828	4291-63-8	NC1=C2N=CN(C3CC(O)C(CO)O3)C2=NC(Cl)=N1
69655-05-6	CAS-RN	DTXSID6022927	2',3'-Dideoxyinosine	DTXCID402927	69655-05-6	OCC1CCC(O1)N1C=NC2=C1N=CNC2=O
20830-75-5	CAS-RN	DTXSID5022934	Digoxin	DTXCID502934	20830-75-5	CC1OC(CC(O)C1O)OC1C(O)CC(OC2C(O)CC(OC3CCC4(C)C(CCC5C4CC(O)C4(C)C(CCC54O)C4=CC(=O)OC4)C3)OC2C)OC1C
577-11-7	CAS-RN	DTXSID8022959	Docusate sodium	DTXCID102959	577-11-7	CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(O)(=O)=O
114-07-8	CAS-RN	DTXSID4022991	Erythromycin	DTXCID102991	114-07-8	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O
96-83-3	CAS-RN	DTXSID6023159	Iopanoic acid	DTXCID603159	96-83-3	CCC(CC1=C(I)C=C(I)C(N)=C1I)C(O)=O
50-21-5	CAS-RN	DTXSID7023192	Lactic acid	DTXCID003192	50-21-5	CC(O)C(O)=O
63-42-3	CAS-RN	DTXSID2023193	Lactose	DTXCID403193	63-42-3	OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O
112809-51-5	CAS-RN	DTXSID4023202	Letrozole	DTXCID503202	112809-51-5	N#CC1=CC=C(C=C1)C(N1C=NC=N1)C1=CC=C(C=C1)C#N
2/3/6893	Not CAS Number Format	-	-	-	-	-
69-65-8	CAS-RN	DTXSID1023235	D-Mannitol	DTXCID603235	69-65-8	OCC(O)C(O)C(O)C(O)CO
61-73-4	CAS-RN	DTXSID0023296	Methylene blue	DTXCID803296	61-73-4	CN(C)C1=CC2=[S+]C3=C(C=CC(=C3)N(C)C)N=C2C=C1
84371-65-3	CAS-RN	DTXSID5023322	Mifepristone	DTXCID303322	84371-65-3	CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(CC12C)C1=CC=C(C=C1)N(C)C
68-22-4	CAS-RN	DTXSID9023380	Norethindrone	DTXCID303380	68-22-4	CC12CCC3C(CCC4=CC(=O)CCC34)C1CCC2(O)C#C
6153-64-6	CAS-RN	DTXSID4023412	Oxytetracycline dihydrate	DTXCID203412	6153-64-6	CN(C)C1C2C(O)C3C(C(=O)C4=C(C=CC=C4O)C3(C)O)C(=O)C2(O)C(=O)C(C(N)=O)C1=O
78-11-5	CAS-RN	DTXSID2023430	Pentaerythritol tetranitrate	DTXCID901109	78-11-5	[O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O
2078-54-8	CAS-RN	DTXSID6023523	Propofol	DTXCID103523	2078-54-8	CC(C)C1=CC=CC(C(C)C)=C1O
65-23-6	CAS-RN	DTXSID4023541	Pyridoxine	DTXCID903541	65-23-6	CC1=C(O)C(CO)=C(CO)C=N1
68-26-8	CAS-RN	DTXSID3023556	Retinol	DTXCID203556	68-26-8	CC(=CCO)C=CC=C(C)C=CC1=C(C)CCCC1(C)C
79902-63-9	CAS-RN	DTXSID0023581	Simvastatin	DTXCID103581	79902-63-9	CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12
50-70-4	CAS-RN	DTXSID5023588	D-Glucitol	DTXCID903588	50-70-4	OCC(O)C(O)C(O)C(O)CO
110-15-6	CAS-RN	DTXSID6023602	Butanedioic acid	DTXCID303602	110-15-6	OC(=O)CCC(O)=O
87-69-4	CAS-RN	DTXSID8023632	L-Tartaric acid	DTXCID203632	87-69-4	OC(C(O)C(O)=O)C(O)=O
60-54-8	CAS-RN	DTXSID7023645	Tetracycline	DTXCID703645	60-54-8	CN(C)C1C2CC3C(C(=O)C4=C(C=CC=C4O)C3(C)O)C(=O)C2(O)C(=O)C(C(N)=O)C1=O
154-42-7	CAS-RN	DTXSID6023652	6-Thioguanine	DTXCID803652	154-42-7	NC1=NC2=C(NC=N2)C(=S)N1
97322-87-7	CAS-RN	DTXSID8023719	Troglitazone	DTXCID603719	97322-87-7	CC1=C(O)C(C)=C2CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)OC2=C1C
77-86-1	CAS-RN	DTXSID2023723	Tromethamine	DTXCID503723	77-86-1	NC(CO)(CO)CO
99-66-1	CAS-RN	DTXSID6023733	Valproic acid	DTXCID803733	99-66-1	CCCC(CCC)C(O)=O
81-81-2	CAS-RN	DTXSID5023742	Warfarin	DTXCID703742	81-81-2	CC(=O)CC(C1C(=O)Oc2ccccc2C1=O)c1ccccc1
58-86-6	CAS-RN	DTXSID0023745	D-Xylose	DTXCID903745	58-86-6	OC1COC(O)C(O)C1O
99-99-0	CAS-RN	DTXSID5023792	4-Nitrotoluene	DTXCID203792	99-99-0	CC1=CC=C(C=C1)[N+]([O-])=O
140-64-7	CAS-RN	DTXSID5023796	Pentamidine isethionate	DTXCID803796	140-64-7	NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1
3056-17-5	CAS-RN	DTXSID1023819	Stavudine	DTXCID803819	3056-17-5	CC1=CN(C2OC(CO)C=C2)C(=O)NC1=O
1303-11-3	CAS-RN	DTXSID5023825	Indium arsenide	DTXCID503825	1303-11-3	-
4098-71-9	CAS-RN	DTXSID0023826	Isophorone diisocyanate	DTXCID903826	4098-71-9	CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O
9016-00-6	CAS-RN	DTXSID9023833	Polydimethylsiloxane	DTXCID301436758	9016-00-6	-
208-96-8	CAS-RN	DTXSID3023845	Acenaphthylene	DTXCID103845	208-96-8	C1=CC2=C3C1=CC=CC3=CC=C2
30560-19-1	CAS-RN	DTXSID8023846	Acephate	DTXCID503846	30560-19-1	COP(=O)(NC(C)=O)SC
34256-82-1	CAS-RN	DTXSID8023848	Acetochlor	DTXCID303848	34256-82-1	CCOCN(C(=O)CCl)C1=C(CC)C=CC=C1C
1646-88-4	CAS-RN	DTXSID6023862	Aldoxycarb	DTXCID503862	1646-88-4	CNC(=O)ON=CC(C)(C)S(C)(=O)=O
67485-29-4	CAS-RN	DTXSID6023868	Hydramethylnon	DTXCID903868	67485-29-4	CC1(C)CNC(NC1)=NN=C(C=CC1=CC=C(C=C1)C(F)(F)F)C=CC1=CC=C(C=C1)C(F)(F)F
834-12-8	CAS-RN	DTXSID1023869	Ametryn	DTXCID303869	834-12-8	CCNC1=NC(SC)=NC(NC(C)C)=N1
33089-61-1	CAS-RN	DTXSID5023871	Amitraz	DTXCID403871	33089-61-1	CN(C=NC1=CC=C(C)C=C1C)C=NC1=CC=C(C)C=C1C
7773-06-0	CAS-RN	DTXSID5023875	Ammonium sulfamate	DTXCID003875	7773-06-0	-
90-04-0	CAS-RN	DTXSID5023877	2-Anisidine	DTXCID803877	90-04-0	COC1=CC=CC=C1N
120-12-7	CAS-RN	DTXSID0023878	Anthracene	DTXCID203878	120-12-7	C1=CC2=CC3=C(C=CC=C3)C=C2C=C1
74115-24-5	CAS-RN	DTXSID9023881	Clofentezine	DTXCID703881	74115-24-5	ClC1=CC=CC=C1C1=NN=C(N=N1)C1=C(Cl)C=CC=C1
76578-14-8	CAS-RN	DTXSID9023889	Quizalofop-ethyl	DTXCID903889	76578-14-8	CCOC(=O)C(C)OC1=CC=C(OC2=CN=C3C=C(Cl)C=CC3=N2)C=C1
3337-71-1	CAS-RN	DTXSID8023890	Asulam	DTXCID603890	3337-71-1	COC(=O)NS(=O)(=O)C1=CC=C(N)C=C1
71751-41-2	CAS-RN	DTXSID8023892	Abamectin	-	71751-41-2	-
43121-43-3	CAS-RN	DTXSID3023897	Triadimefon	DTXCID403897	43121-43-3	CC(C)(C)C(=O)C(OC1=CC=C(Cl)C=C1)N1C=NC=N1
1861-40-1	CAS-RN	DTXSID3023899	Benfluralin	DTXCID203899	1861-40-1	CCCCN(CC)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O
17804-35-2	CAS-RN	DTXSID5023900	Benomyl	DTXCID103900	17804-35-2	CCCCNC(=O)N1C(NC(=O)OC)=NC2=C1C=CC=C2
25057-89-0	CAS-RN	DTXSID0023901	Bentazone	DTXCID503901	25057-89-0	CC(C)N1C(=O)C2=C(NS1(=O)=O)C=CC=C2
56-55-3	CAS-RN	DTXSID5023902	Benz(a)anthracene	DTXCID903902	56-55-3	C1=CC2=C(C=C1)C=C1C(C=CC3=C1C=CC=C3)=C2
205-99-2	CAS-RN	DTXSID0023907	Benzo(b)fluoranthene	DTXCID903907	205-99-2	C1=CC=C2C(=C1)C1=CC=CC3=C4C=CC=CC4=CC2=C13
141-66-2	CAS-RN	DTXSID9023914	Dicrotophos	DTXCID003914	141-66-2	COP(=O)(OC)OC(C)=CC(=O)N(C)C
101-55-3	CAS-RN	DTXSID8023927	p-Bromodiphenyl ether	DTXCID503927	101-55-3	BrC1=CC=C(OC2=CC=CC=C2)C=C1
2008-41-5	CAS-RN	DTXSID7023936	Butylate	DTXCID403936	2008-41-5	CCSC(=O)N(CC(C)C)CC(C)C
55285-14-8	CAS-RN	DTXSID5023950	Carbosulfan	DTXCID603950	55285-14-8	CCCCN(CCCC)SN(C)C(=O)OC1=C2OC(C)(C)CC2=CC=C1
5234-68-4	CAS-RN	DTXSID0023951	Carboxin	DTXCID003951	5234-68-4	CC1=C(SCCO1)C(=O)NC1=CC=CC=C1
95-49-8	CAS-RN	DTXSID8023977	2-Chlorotoluene	DTXCID003977	95-49-8	CC1=C(Cl)C=CC=C1
21725-46-2	CAS-RN	DTXSID1023990	Cyanazine	DTXCID803990	21725-46-2	CCNC1=NC(NC(C)(C)C#N)=NC(Cl)=N1
108-91-8	CAS-RN	DTXSID1023996	Cyclohexylamine	DTXCID203996	108-91-8	NC1CCCCC1
52315-07-8	CAS-RN	DTXSID1023998	Cypermethrin	DTXCID003998	52315-07-8	CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1
66215-27-8	CAS-RN	DTXSID6023999	Cyromazine	DTXCID403999	66215-27-8	NC1=NC(NC2CC2)=NC(N)=N1
1861-32-1	CAS-RN	DTXSID0024000	Chlorthal-dimethyl	DTXCID404000	1861-32-1	COC(=O)C1=C(Cl)C(Cl)=C(C(=O)OC)C(Cl)=C1Cl
39515-41-8	CAS-RN	DTXSID0024002	Fenpropathrin	DTXCID204002	39515-41-8	CC1(C)C(C(=O)OC(C#N)C2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C
1918-00-9	CAS-RN	DTXSID4024018	Dicamba	DTXCID904018	1918-00-9	COC1=C(Cl)C=CC(Cl)=C1C(O)=O
156-60-5	CAS-RN	DTXSID7024031	(E)-1,2-Dichloroethylene	DTXCID704031	156-60-5	ClC=CCl
94-82-6	CAS-RN	DTXSID7024035	2,4-Dichlorophenoxybutyric acid	DTXCID304035	94-82-6	OC(=O)CCCOC1=CC=C(Cl)C=C1Cl
64-67-5	CAS-RN	DTXSID1024045	Diethyl sulfate	DTXCID604045	64-67-5	CCOS(=O)(=O)OCC
311-45-5	CAS-RN	DTXSID6024046	Paraoxon	DTXCID004046	311-45-5	CCOP(=O)(OCC)OC1=CC=C(C=C1)[N+]([O-])=O
43222-48-6	CAS-RN	DTXSID6024048	Difenzoquat metilsulfate	DTXCID804048	43222-48-6	CN1C(=CC(C2=CC=CC=C2)=[N+]1C)C1=CC=CC=C1
35367-38-5	CAS-RN	DTXSID1024049	Diflubenzuron	DTXCID204049	35367-38-5	FC1=CC=CC(F)=C1C(=O)NC(=O)NC1=CC=C(Cl)C=C1
1445-75-6	CAS-RN	DTXSID5024051	Bis(1-methylethyl) methylphosphonate	DTXCID304051	1445-75-6	CC(C)OP(C)(=O)OC(C)C
55290-64-7	CAS-RN	DTXSID0024052	Dimethipin	DTXCID704052	55290-64-7	CC1=C(C)S(=O)(=O)CCS1(=O)=O
77-78-1	CAS-RN	DTXSID5024055	Dimethyl sulfate	DTXCID904055	77-78-1	COS(=O)(=O)OC
124-40-3	CAS-RN	DTXSID5024057	Dimethylamine	DTXCID704057	124-40-3	CNC
119-93-7	CAS-RN	DTXSID5024059	3,3'-Dimethylbenzidine	DTXCID504059	119-93-7	CC1=CC(=CC=C1N)C1=CC=C(N)C(C)=C1
95-65-8	CAS-RN	DTXSID4024062	3,4-Dimethylphenol	DTXCID004062	95-65-8	CC1=C(C)C=C(O)C=C1
576-26-1	CAS-RN	DTXSID9024063	2,6-Dimethylphenol	DTXCID404063	576-26-1	CC1=CC=CC(C)=C1O
99-65-0	CAS-RN	DTXSID9024065	1,3-Dinitrobenzene	DTXCID204065	99-65-0	[O-][N+](=O)C1=CC(=CC=C1)[N+]([O-])=O
528-29-0	CAS-RN	DTXSID4024066	1,2-Dinitrobenzene	DTXCID604066	528-29-0	[O-][N+](=O)C1=C(C=CC=C1)[N+]([O-])=O
957-51-7	CAS-RN	DTXSID8024072	Diphenamid	DTXCID304072	957-51-7	CN(C)C(=O)C(C1=CC=CC=C1)C1=CC=CC=C1
145-73-3	CAS-RN	DTXSID7024081	Endothal	DTXCID204081	145-73-3	OC(=O)C1C2CCC(O2)C1C(O)=O
16672-87-0	CAS-RN	DTXSID7024085	Ethephon	DTXCID804085	16672-87-0	OP(O)(=O)CCCl
563-12-2	CAS-RN	DTXSID2024086	Ethion	DTXCID204086	563-12-2	CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
110-80-5	CAS-RN	DTXSID7024087	2-Ethoxyethanol	DTXCID604087	110-80-5	CCOCCO
759-94-4	CAS-RN	DTXSID1024091	EPTC	DTXCID504091	759-94-4	CCCN(CCC)C(=O)SCC
111-76-2	CAS-RN	DTXSID1024097	2-Butoxyethanol	DTXCID904097	111-76-2	CCCCOCCO
22224-92-6	CAS-RN	DTXSID3024102	Fenamiphos	DTXCID404102	22224-92-6	CCOP(=O)(NC(C)C)OC1=CC=C(SC)C(C)=C1
206-44-0	CAS-RN	DTXSID3024104	Fluoranthene	DTXCID204104	206-44-0	C1=CC2=C(C=C1)C1=C3C2=CC=CC3=CC=C1
86-73-7	CAS-RN	DTXSID8024105	Fluorene	DTXCID604105	86-73-7	C1C2=C(C=CC=C2)C2=C1C=CC=C2
59756-60-4	CAS-RN	DTXSID8024107	1-Methyl-3-phenyl-5-(3-(trifluoromethyl)phenyl)-4-pyridone	DTXCID404107	59756-60-4	CN1C=C(C(=O)C(=C1)C1=CC(=CC=C1)C(F)(F)F)C1=CC=CC=C1
66332-96-5	CAS-RN	DTXSID8024109	Flutolanil	DTXCID204109	66332-96-5	CC(C)OC1=CC(NC(=O)C2=C(C=CC=C2)C(F)(F)F)=CC=C1
72178-02-0	CAS-RN	DTXSID7024112	Fomesafen	DTXCID704112	72178-02-0	CS(=O)(=O)NC(=O)C1=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=CC=C1[N+]([O-])=O
69806-40-2	CAS-RN	DTXSID6024123	Haloxyfop-methyl	DTXCID404123	69806-40-2	COC(=O)C(C)OC1=CC=C(OC2=NC=C(C=C2Cl)C(F)(F)F)C=C1
79277-27-3	CAS-RN	DTXSID1024124	Thifensulfuron methyl	DTXCID804124	79277-27-3	COC(=O)C1=C(C=CS1)S(=O)(=O)NC(=O)NC1=NC(C)=NC(OC)=N1
1024-57-3	CAS-RN	DTXSID1024126	Heptachlor epoxide B	DTXCID001436335	1024-57-3	ClC1C2OC2C2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
822-06-0	CAS-RN	DTXSID4024143	1,6-Diisocyanatohexane	DTXCID004143	822-06-0	O=C=NCCCCCCN=C=O
51235-04-2	CAS-RN	DTXSID4024145	Hexazinone	DTXCID804145	51235-04-2	CN(C)C1=NC(=O)N(C2CCCCC2)C(=O)N1C
35554-44-0	CAS-RN	DTXSID8024151	Imazalil	DTXCID504151	35554-44-0	ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC=C
81335-37-7	CAS-RN	DTXSID3024152	Imazaquin	DTXCID904152	81335-37-7	CC(C)C1(C)N=C(NC1=O)C1=NC2=C(C=CC=C2)C=C1C(O)=O
36734-19-7	CAS-RN	DTXSID3024154	Iprodione	DTXCID704154	36734-19-7	CC(C)NC(=O)N1CC(=O)N(C1=O)C1=CC(Cl)=CC(Cl)=C1
33820-53-0	CAS-RN	DTXSID8024157	Isopropalin	DTXCID904157	33820-53-0	CCCN(CCC)C1=C(C=C(C=C1[N+]([O-])=O)C(C)C)[N+]([O-])=O
82558-50-7	CAS-RN	DTXSID8024159	Isoxaben	DTXCID704159	82558-50-7	CCC(C)(CC)C1=NOC(NC(=O)C2=C(OC)C=CC=C2OC)=C1
77501-63-4	CAS-RN	DTXSID7024160	Lactofen	DTXCID404160	77501-63-4	CCOC(=O)C(C)OC(=O)C1=C(C=CC(OC2=C(Cl)C=C(C=C2)C(F)(F)F)=C1)[N+]([O-])=O
330-55-2	CAS-RN	DTXSID2024163	Linuron	DTXCID604163	330-55-2	CON(C)C(=O)NC1=CC=C(Cl)C(Cl)=C1
24307-26-4	CAS-RN	DTXSID1024170	1,1-Dimethylpiperidinium chloride	DTXCID704170	24307-26-4	C[N+]1(C)CCCCC1
78-48-8	CAS-RN	DTXSID1024174	Tribufos	DTXCID304174	78-48-8	CCCCSP(=O)(SCCCC)SCCCC
57837-19-1	CAS-RN	DTXSID6024175	Metalaxyl	DTXCID704175	57837-19-1	COCC(=O)N(C(C)C(=O)OC)C1=C(C)C=CC=C1C
126-98-7	CAS-RN	DTXSID1024176	Methacrylonitrile	DTXCID104176	126-98-7	CC(=C)C#N
10265-92-6	CAS-RN	DTXSID6024177	Methamidophos	DTXCID504177	10265-92-6	COP(N)(=O)SC
109-86-4	CAS-RN	DTXSID5024182	2-Methoxyethanol	DTXCID804182	109-86-4	COCCO
94-81-5	CAS-RN	DTXSID4024193	MCPB	DTXCID504193	94-81-5	CC1=C(OCCCC(O)=O)C=CC(Cl)=C1
93-65-2	CAS-RN	DTXSID9024194	Mecoprop	DTXCID904194	93-65-2	CC(OC1=C(C)C=C(Cl)C=C1)C(O)=O
94-74-6	CAS-RN	DTXSID4024195	MCPA	DTXCID304195	94-74-6	CC1=C(OCC(O)=O)C=CC(Cl)=C1
108-39-4	CAS-RN	DTXSID6024200	m-Cresol	DTXCID804200	108-39-4	CC1=CC(O)=CC=C1
21087-64-9	CAS-RN	DTXSID6024204	Metribuzin	DTXCID404204	21087-64-9	CSC1=NN=C(C(=O)N1N)C(C)(C)C
2212-67-1	CAS-RN	DTXSID6024206	Molinate	DTXCID204206	2212-67-1	CCSC(=O)N1CCCCCC1
300-76-5	CAS-RN	DTXSID1024209	Naled	DTXCID404209	300-76-5	COP(=O)(OC)OC(Br)C(Cl)(Cl)Br
